mojo_title,criticscore,criticcount,audiencescore,audiencecount
Annabelle: Creation,84,56,4.2,9350
Murder on the Orient Express,62,29,6.8,279
Daddy's Home 2,52,46,6.4,408
Fifty Shades Darker,86,53,7.8,1290
Girls Trip,33,39,3.1,255
Sing,71,35,5.6,104
La La Land,59,37,6.2,248
Made in France,94,54,8.4,2215
Black Panther,tbd,4,No score yet,N/A
A Man Vanishes,88,55,6.3,3303
1945,92,5,9.0,4
Henchmen,73,13,7.4,8
A Breath Away,Link error,Link error,Link error,Link error
Sgt. Stubby: An American Hero,Link error,Link error,Link error,Link error
Senso,44,11,6.8,4
Realms,81,7,No score yet,N/A
Over the Limit,42,9,No score yet,N/A
Tall Tales from the Magical Garden of Antoon Krings,91,4,No score yet,N/A
Never-Ending Man: Hayao Miyazaki,Link error,Link error,Link error,Link error
Serendipity,64,8,No score yet,N/A
In Safe Hands,Link error,Link error,Link error,Link error
Indivisible,Link error,Link error,Link error,Link error
I Am Not A Witch,80,10,No score yet,N/A
For Those Who Don't Read Me,79,19,7.6,11
Narcissister Organ Player,Link error,Link error,Link error,Link error
The Hours and Times,69,5,No score yet,N/A
A Fish in the Bathtub,Link error,Link error,Link error,Link error
Tea With the Dames,Link error,Link error,Link error,Link error
American Playhouse: The Killing Floor,85,19,7.4,8
Joan the Maid 1: The Battles,Link error,Link error,Link error,Link error
"No Date, No Signature",Link error,Link error,Link error,Link error
Detour,Link error,Link error,Link error,Link error
Iceman,55,9,No score yet,N/A
I Lost Albert,32,4,3.2,6
TINY: The Life of Erin Blackwell,32,11,No score yet,N/A
Filmworker,63,12,No score yet,N/A
Bauhaus Spirit: 100 Years of Bauhaus,73,19,7.7,7
The Wandering Soap Opera,78,4,6.8,5
Mother of a Day,Link error,Link error,Link error,Link error
The Gliksmans,Link error,Link error,Link error,Link error
State Like Sleep,Link error,Link error,Link error,Link error
100 Acres of Hell,48,14,No score yet,N/A
A Cool Fish,56,5,No score yet,N/A
I'm Leaving Now,Link error,Link error,Link error,Link error
Wallflower,Link error,Link error,Link error,Link error
Slaughterhouse Rulez,47,7,6.0,7
La Flor,39,6,4.7,15
Kaili Blues,77,8,No score yet,N/A
Ballet Blanc,85,10,7.3,12
The Fate of Lee Khan,Link error,Link error,Link error,Link error
Tito and the Birds,75,4,No score yet,N/A
Crepitus,76,14,No score yet,N/A
SGT. Will Gardner,Link error,Link error,Link error,Link error
Chulas Fronteras,61,12,No score yet,N/A
Intuitions,70,12,No score yet,N/A
What You Gonna Do When the World's on Fire?,Link error,Link error,Link error,Link error
Spiral Farm,63,27,6.4,30
Halloween,Link error,Link error,Link error,Link error
Un traductor,47,18,5.6,337
Kedarnath,Link error,Link error,Link error,Link error
Body at Brighton Rock,25,8,5.6,9
Chokehold,53,11,3.6,7
Under the Eiffel Tower,Link error,Link error,Link error,Link error
The Miracle of the Little Prince,41,7,No score yet,N/A
Série noire,Link error,Link error,Link error,Link error
"One Nation, One King",Link error,Link error,Link error,Link error
Relaxer,75,5,4.5,4
The Golden Glove,82,7,6.5,11
Going Attractions: The Definitive Story of the Movie Palace,38,15,7.0,13
To Be of Service,Link error,Link error,Link error,Link error
Patrick the Pug,Link error,Link error,Link error,Link error
Of Fathers and Sons,83,11,6.3,7
"Monrovia, Indiana",75,25,6.4,52
The Plagiarists,Link error,Link error,Link error,Link error
This Magnificent Cake!,75,12,No score yet,N/A
Genesis,Link error,Link error,Link error,Link error
Grass,74,10,No score yet,N/A
Beloved Beast,64,19,7.9,8
The Etruscan Smile,Link error,Link error,Link error,Link error
The Dead Center,54,8,No score yet,N/A
Life and Nothing More,63,7,5.3,4
King of Thieves,82,15,8.2,19
Colossal Youth,47,16,5.3,9
Wings of Desire,Link error,Link error,Link error,Link error
Line of Duty,Link error,Link error,Link error,Link error
Around India with a Movie Camera,50,5,No score yet,N/A
When Lambs Become Lions,Link error,Link error,Link error,Link error
Shooting the Mafia,75,14,No score yet,N/A
Studio 54,61,15,No score yet,N/A
The Spanish Prisoner,70,22,6.0,9
Fritz Lang's Indian Epic,70,21,8.3,13
Streetwise,71,18,3.6,5
The Eyes of Orson Welles,Link error,Link error,Link error,Link error
Daughter of Mine,Link error,Link error,Link error,Link error
16 Bars,74,11,No score yet,N/A
Suburban Birds,Link error,Link error,Link error,Link error
Angels Are Made Of Light,72,7,No score yet,N/A
Ferrante Fever,Link error,Link error,Link error,Link error
Duet for Cannibals,52,6,No score yet,N/A
Between the Lines,Link error,Link error,Link error,Link error
Quartet,63,5,No score yet,N/A
I Do Not Care If We Go Down in History as Barbarians,64,36,6.1,43
Made Me Do It,81,10,No score yet,N/A
In Like Flynn,Link error,Link error,Link error,Link error
Yomeddine,66,6,7.6,13
Bricked,62,12,No score yet,N/A
Journey to the South Pacific,75,11,No score yet,N/A
Stuffed,Link error,Link error,Link error,Link error
The Disappearance of My Mother,56,4,No score yet,N/A
Liyana,78,6,No score yet,N/A
"Cassandro, The Exotico!",80,10,7.0,4
Zen for Nothing,28,4,No score yet,N/A
The House with a Clock in Its Walls,52,4,No score yet,N/A
The Cat Rescuers,57,38,5.8,109
First Man,58,5,No score yet,N/A
This One's for the Ladies,84,56,7.4,575
Screwball,54,8,No score yet,N/A
Boy Erased,72,10,8.2,6
Off Season,69,48,7.2,107
Hagazussa,71,8,No score yet,N/A
Frank and Ava,72,6,5.0,7
El Angel,Link error,Link error,Link error,Link error
Funan,61,13,7.3,16
Midnight Family,79,9,6.5,4
Touch Me Not,81,14,5.6,5
Trinity Seven The Movie 2: Heavens Library & Crimson Lord,65,13,No score yet,N/A
The Competition,56,7,8.5,4
A Private War,Link error,Link error,Link error,Link error
Our Time,75,32,7.1,55
To the Arctic 3D,Link error,Link error,Link error,Link error
ZZ Top: That Little Ol' Band from Texas,48,13,No score yet,N/A
Piercing,53,8,No score yet,N/A
Three Peaks,63,23,5.9,13
Galapagos,57,11,No score yet,N/A
Airpocalypse,80,15,7.8,5
Little Joe,tbd,4,No score yet,N/A
Ode to Joy,60,25,5.3,12
Starfish,38,7,No score yet,N/A
Citizen K,74,6,4.4,11
The House That Jack Built,76,19,5.4,7
Midnight Diner,Link error,Link error,Link error,Link error
Tremors,79,14,No score yet,N/A
Ballon,65,13,7.7,69
Joseph Pulitzer: Voice of the People,53,9,7.4,9
Scandalous: The True Story of the National Enquirer,Link error,Link error,Link error,Link error
Girls of the Sun,49,16,5.5,4
The Perfect Race,51,17,5.5,4
The Return of Martin Guerre,66,16,No score yet,N/A
Black Mother,Link error,Link error,Link error,Link error
Armstrong,86,10,3.9,7
Jane and Emma,57,7,7.3,6
Island of Lemurs: Madagascar,tbd,4,No score yet,N/A
Night School,66,12,5.2,5
General Magic,76,10,No score yet,N/A
Light of My Life,69,5,No score yet,N/A
Celebration,67,16,6.1,35
Wildlife,79,10,No score yet,N/A
The All Americans,80,41,7.5,81
The Gospel of Eureka,65,5,No score yet,N/A
Redoubt,66,9,No score yet,N/A
The Hole in the Ground,Link error,Link error,Link error,Link error
Wicked Witches,63,16,5.1,37
Vox Lux,Link error,Link error,Link error,Link error
Chasing Einstein,67,39,6.1,86
Invisible Life,Link error,Link error,Link error,Link error
Light from Light,81,16,8.9,28
Hyenas,80,14,6.0,4
Donnybrook,Link error,Link error,Link error,Link error
"Leaving Home, Coming Home: A Portrait of Robert Frank",53,15,5.2,5
Kind Hearts and Coronets,57,13,No score yet,N/A
The Wind,75,10,7.8,12
Hotel by the River,66,14,6.2,15
Batman & Robin,79,12,7.7,6
Wrestle,57,4,No score yet,N/A
Memory: The Origins of Alien,82,8,No score yet,N/A
The Day Shall Come,70,18,6.3,6
Lionel Richie at Glastonbury,70,21,5.8,10
The Nun,Link error,Link error,Link error,Link error
Deep Sea,Link error,Link error,Link error,Link error
In the Aisles,78,10,8.7,11
Recorder: The Marion Stokes Project,67,12,No score yet,N/A
Gift,76,14,No score yet,N/A
Sometimes Always Never,Link error,Link error,Link error,Link error
Vault,67,19,6.8,5
The Ground Beneath My Feet,Link error,Link error,Link error,Link error
Desolation Center,83,9,No score yet,N/A
An Acceptable Loss,Link error,Link error,Link error,Link error
Los Reyes,40,11,5.8,5
Sorry Angel,76,5,No score yet,N/A
Space Station 3D,73,21,7.3,8
Pasolini,69,13,8.7,7
An Elephant Sitting Still,71,18,7.0,4
Horn from the Heart: The Paul Butterfield Story,86,16,8.8,13
Buddy,Link error,Link error,Link error,Link error
The Wild Pear Tree,Link error,Link error,Link error,Link error
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,Link error,Link error,Link error,Link error
White Snake,Link error,Link error,Link error,Link error
Ága,60,6,7.8,4
Loro,Link error,Link error,Link error,Link error
Knife + Heart,Link error,Link error,Link error,Link error
Yardie,69,16,7.4,13
Buñuel in the Labyrinth of the Turtles,52,18,6.7,9
The Death of Dick Long,Link error,Link error,Link error,Link error
The Quiet One,69,21,5.4,7
Moonlight Sonata: Deafness in Three Movements,57,18,No score yet,N/A
Killer Unicorn,Link error,Link error,Link error,Link error
Batman Forever,Link error,Link error,Link error,Link error
The Cave,51,23,6.4,550
Charlie Says,Link error,Link error,Link error,Link error
Clemency,57,21,5.4,13
The Sower,77,31,6.6,25
Vita & Virginia,75,5,No score yet,N/A
Immortal Hero,Link error,Link error,Link error,Link error
The Star,tbd,4,No score yet,N/A
Shed of the Dead,42,12,6.3,31
Aniara,Link error,Link error,Link error,Link error
Slut in a Good Way,61,16,7.4,17
Maze,74,9,No score yet,N/A
For Sama,79,18,7.0,5
Sympathy for the Devil,89,18,7.5,26
Under the Silver Lake,Link error,Link error,Link error,Link error
Carmine Street Guitars,60,31,6.7,87
American Dharma,82,14,No score yet,N/A
The Final Wish,62,22,No score yet,N/A
The Bounty Killer,Link error,Link error,Link error,Link error
Free Trip to Egypt,tbd,4,No score yet,N/A
What Is Democracy?,Link error,Link error,Link error,Link error
Ophelia,71,7,No score yet,N/A
High on the Hog,60,23,6.2,15
¡He matado a mi marido!,Link error,Link error,Link error,Link error
"Cyrano, My Love",80,12,5.8,4
QT8: The First Eight,69,16,5.2,5
The Queen,71,8,6.9,7
Plácido Domingo Gala,91,37,6.7,376
Heavy Water,81,44,7.0,126
One Cut of the Dead,62,25,6.4,17
End of the Century,86,14,8.1,33
This Changes Everything,Link error,Link error,Link error,Link error
Mickey and the Bear,Link error,Link error,Link error,Link error
By the Grace of God,79,13,5.8,4
The Mountain,75,20,7.5,11
Sauvage / Wild,64,23,No score yet,N/A
Free Trip to Egypt,68,23,7.6,266
Being Frank,83,17,No score yet,N/A
The Divine Move 2: The Wrathful,41,12,No score yet,N/A
Cliffs of Freedom,21,11,6.9,14
Diamantino,Link error,Link error,Link error,Link error
Edie,75,15,7.2,6
5B,41,11,No score yet,N/A
"Hale County This Morning, This Evening",69,6,No score yet,N/A
The Battle of Jangsari,78,10,7.0,11
Storm Boy,64,20,6.9,25
3 Faces,67,7,7.8,5
Working Woman,Link error,Link error,Link error,Link error
Swing Kids,79,11,5.2,5
The Old Man & the Gun,Link error,Link error,Link error,Link error
High Strung Free Dance,75,16,6.9,10
Triple Threat,43,4,No score yet,N/A
Once Upon a Deadpool,60,4,4.7,18
Ploey,53,14,4.5,32
A Faithful Man,Link error,Link error,Link error,Link error
The Heiresses,67,15,6.5,4
Saint Judy,77,14,6.7,12
Skid Row Marathon,51,7,8.3,24
National Theater Live: Cyrano de Bergerac,Link error,Link error,Link error,Link error
Ms. Purple,81,12,6.8,9
ECCO,tbd,4,No score yet,N/A
Woodstock,31,5,No score yet,N/A
Papi Chulo,67,10,5.5,4
The Third Wife,Link error,Link error,Link error,Link error
Sound! Euphonium the Movie - Our Promise: A Brand New Day,71,13,8.0,6
Mayday Life,Link error,Link error,Link error,Link error
My Dear Liar,Link error,Link error,Link error,Link error
Margaret Atwood: Live in Cinemas,Link error,Link error,Link error,Link error
Take Point,62,11,9.0,4
A Bigger Splash,81,18,7.7,48
Wonders of the Sea,74,36,6.9,80
Mapplethorpe,76,12,6.6,5
The Image Book,42,18,4.8,5
The Song of Names,76,22,5.3,4
Anthropocene: The Human Epoch,51,15,7.4,11
Tazza: One-Eyed Jack,77,6,No score yet,N/A
Walking on Water,Link error,Link error,Link error,Link error
The Audience,63,11,No score yet,N/A
The Kingmaker,33,4,No score yet,N/A
Be Natural: The Untold Story of Alice Guy-Blaché,76,16,5.8,16
Miss & Mrs. Cops,Link error,Link error,Link error,Link error
Cold Case Hammarskjöld,54,13,3.9,7
The Fall of the American Empire,71,25,No score yet,N/A
Portrait of a Lady on Fire,55,19,7.0,11
Branagh Theatre Live: The Winter's Tale,95,48,8.7,277
Avant qu'on explose,80,9,No score yet,N/A
Police Story,Link error,Link error,Link error,Link error
Born to Be Wild,78,9,8.7,15
Easy Rider,66,14,7.4,11
Mary Magdalene,85,18,7.6,84
Woodstock,48,24,6.0,11
The Zoya Factor,69,9,No score yet,N/A
Made in Abyss: Journey's Dawn,Link error,Link error,Link error,Link error
Okko's Inn,90,38,7.8,174
Wilder vs. Ortiz,82,21,No score yet,N/A
Hubble 3D,42,11,8.8,21
Framing John DeLorean,53,10,No score yet,N/A
Palau the Movie,67,17,8.6,5
Rafiki,68,8,No score yet,N/A
Who Will Write Our History,68,17,7.5,4
Trial by Fire,Link error,Link error,Link error,Link error
Little Woods,51,19,6.2,5
The Last Resort,74,21,5.5,11
Glory,76,6,No score yet,N/A
Before You Know It,78,22,7.6,5
Peterloo,68,6,No score yet,N/A
Halston,66,34,5.8,17
The Death & Life of John F. Donovan,64,17,No score yet,N/A
War and Peace,78,5,No score yet,N/A
Them That Follow,Link error,Link error,Link error,Link error
Batman,57,23,6.2,10
"Diana Ross: Her Life, Love and Legacy",69,21,8.2,694
Bright Ones,74,8,No score yet,N/A
Bolshoi Ballet: The Golden Age,84,21,5.7,22
Sunset,27,9,3.0,4
Robin Hood,65,23,7.6,7
The Bad Guys: The Movie,53,40,6.3,359
Raymonda: Bolshoi Ballet,56,27,5.2,6
Marjaavaan,67,17,7.4,15
"Iyengar: The Man, Yoga, and the Student's Journey",76,20,7.1,13
Friendsgiving Day #2,75,5,6.6,11
To Dust,Link error,Link error,Link error,Link error
The River and the Wall,66,16,5.1,7
Dabangg 3,Link error,Link error,Link error,Link error
Forrest Gump,Link error,Link error,Link error,Link error
Venom,82,20,7.8,1394
Pagalpanti,Link error,Link error,Link error,Link error
Kathy Griffin: A Hell of a Story,Link error,Link error,Link error,Link error
Chasing the Dragon II: Wild Wild Bunch,60,8,6.8,8
"Faith, Hope & Love",Link error,Link error,Link error,Link error
The Possession of Hannah Grace,67,6,6.7,6
The Karate Kid,37,10,4.8,53
Hesburgh,61,37,6.6,298
The Iron Orchard,83,5,No score yet,N/A
Never Surrender: A Galaxy Quest Documentary,Link error,Link error,Link error,Link error
Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,tbd,4,7.2,5
Premier Boxing Champions: PBC on FOX: Spence vs. Porter,77,13,6.2,9
"The Gangster, the Cop, the Devil",Link error,Link error,Link error,Link error
Friendsgiving Day #1,Link error,Link error,Link error,Link error
Canal Street,65,9,9.0,65
When Harry Met Sally...,Link error,Link error,Link error,Link error
311 Enlarged to Show Detail 3,82,13,7.5,15
Mobile Suit Gundam Narrative,Link error,Link error,Link error,Link error
Modest Heroes,60,25,6.8,75
Just Mercy,tbd,4,No score yet,N/A
One Child Nation,68,50,7.2,109
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,85,25,8.2,22
The Tale of The Princess Kaguya,48,17,5.0,23
True Grit,89,28,8.6,220
Her Smell,80,41,7.7,725
I Want to Eat Your Pancreas,69,24,4.7,29
The Nutcracker and the Four Realms,Link error,Link error,Link error,Link error
Octaman,39,38,4.8,86
Slayer: The Repentless Killogy,59,31,7.4,36
Saga of Tanya the Evil - The Movie,Link error,Link error,Link error,Link error
Shakira in Concert: El Dorado World Tour,90,18,9.0,876
The Giant Spider Invasion,tbd,4,9.2,13
K-12,63,16,7.3,47
You Are Here: A Come From Away Story,42,7,5.7,6
Stockholm,36,36,4.6,22
Sword of Trust,54,18,7.8,43
Fleabag,70,21,7.1,8
The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,80,20,6.2,6
Diane,70,15,7.7,34
Photograph,86,28,7.6,18
The Tomorrow Man,48,16,6.7,97
The Shawshank Redemption,49,18,6.0,6
Matthias & Maxime,80,20,9.0,1792
The Hummingbird Project,71,8,8.3,418
The Cure: Anniversary 1978-2018 Live in Hyde Park,58,26,6.1,22
The Wedding Guest,80,28,8.1,266
The Man Who Killed Don Quixote,57,25,5.4,7
Mia and the White Lion,58,25,6.8,41
The Nightingale,52,6,6.2,12
"Hello, Dolly!",67,4,No score yet,N/A
The Invisibles,78,27,7.6,39
The Reliant,60,11,No score yet,N/A
The Cold Blue,Link error,Link error,Link error,Link error
Ash Is Purest White,Link error,Link error,Link error,Link error
Fate/stay night [Heaven's Feel] II. lost butterfly,85,34,7.1,27
De De Pyaar De,38,34,5.0,149
Merci pour tout,tbd,4,No score yet,N/A
Cruel Intentions,57,24,5.5,22
Christmas Jars,56,24,8.3,340
Lawrence of Arabia,tbd,4,No score yet,N/A
Hail Satan?,100,8,8.7,356
Batla House,76,31,5.8,26
Nausicaä of the Valley of the Wind,74,50,6.8,281
Widows,75,4,8.6,21
Exit,84,57,6.9,260
Tel Aviv on Fire,Link error,Link error,Link error,Link error
Birds of Passage,70,16,No score yet,N/A
CatVideoFest,85,27,7.8,46
The Russian Five,91,38,8.9,1139
The Climbers,Link error,Link error,Link error,Link error
Wild Nights with Emily,Link error,Link error,Link error,Link error
Code Geass: Lelouch of the Re;Surrection,74,14,5.9,8
My Fair Lady,80,11,No score yet,N/A
The Public,95,15,8.3,21
Bethany Hamilton: Unstoppable,46,18,6.5,8
To Kill a Mockingbird,55,6,No score yet,N/A
The Least of These: The Graham Staines Story,88,16,8.6,71
Long Day's Journey Into Night,67,7,No score yet,N/A
The White Storm 2: Drug Lords,81,25,7.2,52
Grateful Dead Meet-Up 2019,Link error,Link error,Link error,Link error
Dirty Dancing,74,7,8.3,33
Racetime,65,20,7.6,95
The Sky Is Pink,tbd,4,No score yet,N/A
Furie,Link error,Link error,Link error,Link error
The Chaperone,Link error,Link error,Link error,Link error
Non-Fiction,33,11,6.4,7
Honeyland,78,29,6.7,19
The Game Changers,86,26,9.0,48
Raise Hell: The Life & Times of Molly Ivins,Link error,Link error,Link error,Link error
Student of the Year 2,Link error,Link error,Link error,Link error
The Captain,tbd,4,No score yet,N/A
Chonda Pierce: Unashamed,67,17,7.6,15
More Than Blue,Link error,Link error,Link error,Link error
Climax,80,22,6.4,5
Alien,67,37,7.5,136
Steel Magnolias,89,34,9.0,917
Howl's Moving Castle,56,13,8.3,13
The Fighting Preacher,78,43,7.5,72
Jesus Is King,tbd,4,No score yet,N/A
BlacKkKlansman,61,4,5.6,55
Kiki's Delivery Service,83,56,7.3,552
Perfect Strangers,82,30,6.6,38
Noah,81,24,6.4,15
Pati Patni Aur Woh,68,46,5.4,795
Between Me and My Mind,91,45,6.5,69
Princess Mononoke,82,21,6.8,5
Rush: Cinema Strangiato 2019,Link error,Link error,Link error,Link error
Bennett's War,tbd,4,No score yet,N/A
Playmobil: The Movie,44,33,6.1,267
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,86,15,8.7,128
El Coyote,80,16,6.6,13
No Safe Spaces,Link error,Link error,Link error,Link error
Ek Ladki Ko Dekha Toh Aisa Laga,31,5,9.0,21
Los Domirriqueños 2,Link error,Link error,Link error,Link error
