mojo_title,criticscore,criticcount,audiencescore,audiencecount
The Greasy Strangler,Link error,Link error,Link error,Link error
Magnus,58,13,5.4,11
Red Christmas,52,12,No score yet,N/A
Under the Sun,52,5,5.4,5
Detour,81,14,6.6,21
New World Order,Link error,Link error,Link error,Link error
The Ghoul,Link error,Link error,Link error,Link error
Take Me,69,16,No score yet,N/A
7 from Etheria,56,11,6.5,11
Behind the White Glasses,Link error,Link error,Link error,Link error
No Home Movie,Link error,Link error,Link error,Link error
1898: Our Last Men in the Philippines,81,10,7.4,5
Kepler's Dream,Link error,Link error,Link error,Link error
Apprentice,75,11,7.1,21
The Bad Kids,77,7,7.0,4
Justice,75,9,No score yet,N/A
Daughter of the Nile,Link error,Link error,Link error,Link error
I Dream in Another Language,68,8,No score yet,N/A
Spices of Liberty,64,6,8.0,8
Tower,Link error,Link error,Link error,Link error
Bugs,92,22,8.0,50
The Gender Card Flip,44,13,No score yet,N/A
Bad Match,62,6,No score yet,N/A
Amanda & Jack Go Glamping,56,4,7.2,5
"Love, Sweat and Tears",65,8,No score yet,N/A
Train to Busan,Link error,Link error,Link error,Link error
Who's Crazy?,72,16,7.9,346
The Beautiful Troublemaker,Link error,Link error,Link error,Link error
Singularity,Link error,Link error,Link error,Link error
Dream Boat,83,13,6.5,6
A Boy Called Po,56,4,7.2,6
Miss Kiet's Children,47,4,6.0,5
German Concentration Camps Factual Survey,42,7,No score yet,N/A
The Pulitzer at 100,Link error,Link error,Link error,Link error
Vengeance: A Love Story,43,4,No score yet,N/A
Icaros: A Vision,Link error,Link error,Link error,Link error
Shakespeare-Wallah,77,8,No score yet,N/A
The Tribes of Palos Verdes,Link error,Link error,Link error,Link error
I Love You Both,49,10,5.4,7
Night School,Link error,Link error,Link error,Link error
Gold,52,6,No score yet,N/A
Company Town,49,40,6.4,72
No culpes al karma de lo que te pasa por gilipollas,Link error,Link error,Link error,Link error
Shut In,62,12,7.0,8
Reset,25,14,3.7,35
The Man from Earth: Holocene,36,5,No score yet,N/A
The Vault,Link error,Link error,Link error,Link error
The Work,50,5,3.6,19
Starless Dreams,84,13,7.5,8
The Seasons In Quincy: Four Portraits of John Berger,85,9,No score yet,N/A
Trespass Against Us,47,14,5.6,5
Chosen,50,16,4.5,12
Best Worst Thing That Ever Could Have Happened,Link error,Link error,Link error,Link error
In the Steps of Trisha Brown,81,12,No score yet,N/A
The Last Rampage,tbd,4,No score yet,N/A
Arise from Darkness,48,5,No score yet,N/A
Harry Benson: Shoot First,49,4,No score yet,N/A
A Kind of Loving,74,11,No score yet,N/A
The Pathological Optimist,54,4,No score yet,N/A
Overdrive,Link error,Link error,Link error,Link error
The Ballad of Lefty Brown,Link error,Link error,Link error,Link error
Suntan,64,12,6.3,12
Footnotes,59,9,No score yet,N/A
From Nowhere,60,7,No score yet,N/A
The Jazz Funeral,75,8,No score yet,N/A
Served Like a Girl,Link error,Link error,Link error,Link error
Big Time,85,5,3.8,4
Birthright: A War Story,57,5,No score yet,N/A
Natasha,70,5,No score yet,N/A
Maurizio Cattelan: Be Right Back,76,6,No score yet,N/A
Félicité,70,4,No score yet,N/A
Painted Woman,18,27,4.8,58
The Eyes,62,10,No score yet,N/A
Irreplaceable,Link error,Link error,Link error,Link error
Inspector Maigret,Link error,Link error,Link error,Link error
Amelia 2.0,Link error,Link error,Link error,Link error
Thirst Street,74,14,7.2,9
Remember the Goal,71,11,No score yet,N/A
In Search of Fellini,tbd,4,No score yet,N/A
Pelle the Conqueror,76,11,No score yet,N/A
Mifune: The Last Samurai,68,6,No score yet,N/A
The Magnificent Seven,64,14,8.0,5
The Challenge,54,50,6.5,325
Blind,69,7,No score yet,N/A
Ugetsu,83,14,7.6,37
Dead Awake,75,16,No score yet,N/A
Sweet Virginia,Link error,Link error,Link error,Link error
Frank Serpico,72,13,7.2,18
Staying Vertical,68,6,No score yet,N/A
4 Days in France,65,17,7.5,6
Junction 48,73,10,No score yet,N/A
Seven Beauties,62,7,No score yet,N/A
Heal,76,8,No score yet,N/A
Birdboy: The Forgotten Children,Link error,Link error,Link error,Link error
The Beatles: Eight Days a Week - The Touring Years,Link error,Link error,Link error,Link error
Time to Die,72,22,8.6,25
Victor,Link error,Link error,Link error,Link error
Red Trees,tbd,4,No score yet,N/A
After Love,57,5,No score yet,N/A
Miss Sloane,66,15,No score yet,N/A
Brotherhood of Blades 2,64,41,7.1,133
The Farthest,61,12,No score yet,N/A
All the Queen's Horses,87,7,6.7,18
SHOT! The Psycho-Spiritual Mantra of Rock,72,4,No score yet,N/A
The Freedom to Marry,67,10,No score yet,N/A
Hunter Gatherer,67,6,No score yet,N/A
Swim Team,70,8,No score yet,N/A
The Sacrifice,72,4,No score yet,N/A
Kills On Wheels,80,14,6.6,5
Sacred,65,5,No score yet,N/A
Mission Control: The Unsung Heroes of Apollo,60,4,No score yet,N/A
Brave New Jersey,71,4,No score yet,N/A
All the Rage,45,8,No score yet,N/A
Carrie Pilby,Link error,Link error,Link error,Link error
Contemporary Color,52,14,7.7,6
That Most Important Thing: Love,79,12,No score yet,N/A
Harmonium,72,5,No score yet,N/A
Bad Grandmas,84,16,7.7,9
Trafficked,Link error,Link error,Link error,Link error
Heat and Dust,38,4,No score yet,N/A
Mansfield 66/67,49,7,No score yet,N/A
The Blackcoat's Daughter,52,8,No score yet,N/A
Trophy,70,12,7.5,4
The Girl Without Hands,80,19,No score yet,N/A
The Man from Outer Space,82,8,6.7,9
Better Watch Out,31,9,6.1,18
The Lucky Man,67,13,6.2,72
Man Underground,tbd,4,No score yet,N/A
Whisky Galore,Link error,Link error,Link error,Link error
God Knows Where I Am,tbd,4,8.5,15
The Recall,66,11,No score yet,N/A
The Passion of Joan of Arc,Link error,Link error,Link error,Link error
The Transfiguration,Link error,Link error,Link error,Link error
Paradise Club,65,16,6.3,6
Queen of Katwe,tbd,4,No score yet,N/A
Una,73,40,6.4,60
My Scientology Movie,62,28,4.7,20
The Departure,62,12,6.4,8
The Grace of Jake,85,9,8.5,4
For Ahkeem,72,7,No score yet,N/A
Naples '44,Link error,Link error,Link error,Link error
30 Years of Garbage: The Garbage Pail Kids Story,65,9,No score yet,N/A
Radio Dreams,72,19,6.4,16
Mali Blues,74,6,No score yet,N/A
The Old Dark House,85,4,No score yet,N/A
False Confessions,70,17,6.1,39
Lemon,41,8,No score yet,N/A
Signature Move,59,20,5.8,8
On the Beach at Night Alone,70,8,No score yet,N/A
No Greater Love,64,21,7.2,37
Ribbons,85,4,No score yet,N/A
Sidemen: Long Road to Glory,tbd,4,No score yet,N/A
Super Dark Times,70,6,No score yet,N/A
Alone in Berlin,75,18,7.0,40
Wasted! The Story of Food Waste,52,16,6.4,10
Uncertain,74,6,No score yet,N/A
Le Trou,89,7,8.5,4
Growing Up Smith,66,9,No score yet,N/A
XX,Link error,Link error,Link error,Link error
The Edge of Seventeen,64,15,3.1,40
Love & Taxes,77,38,7.7,221
Dave Made a Maze,75,14,6.2,9
The Commune,60,9,7.2,12
Sophie and the Rising Sun,60,22,No score yet,N/A
Heart Blackened,55,5,No score yet,N/A
Maurice,Link error,Link error,Link error,Link error
School Life,75,14,8.6,20
A Woman's Life,73,15,No score yet,N/A
78/52: Hitchcock's Shower Scene,39,24,3.9,13
Hermia & Helena,Link error,Link error,Link error,Link error
Unrest,76,16,No score yet,N/A
Karl Marx City,80,7,8.9,15
Just One Drop,73,10,No score yet,N/A
The Settlers,67,14,No score yet,N/A
One Week and a Day,75,8,No score yet,N/A
"Léon Morin, Priest",72,11,No score yet,N/A
Bluebeard,73,5,No score yet,N/A
Tampopo,tbd,4,No score yet,N/A
Napping Princess,87,18,No score yet,N/A
The Ornithologist,69,5,4.3,11
My Journey Through French Cinema,85,14,5.9,17
The Paris Opera,87,17,3.3,4
Twenty Two,80,10,5.3,4
Extraordinary Mission,Link error,Link error,Link error,Link error
Person to Person,40,17,No score yet,N/A
I Called Him Morgan,53,16,No score yet,N/A
Happy End,90,20,6.7,16
Beautiful Accident,Link error,Link error,Link error,Link error
The Boom,71,7,No score yet,N/A
Worlds Apart,54,5,3.1,13
Donald Cried,61,5,8.4,5
Fire at Sea,72,13,7.5,4
The Brand New Testament,87,20,6.8,17
The Teacher,70,17,7.1,22
To the Arctic 3D,77,8,7.1,10
Bang! The Bert Berns Story,72,19,4.8,6
Turn It Around: The Story of East Bay Punk,79,5,No score yet,N/A
Manolo: the Boy Who Made Shoes for Lizards,65,4,No score yet,N/A
Bad Santa 2,52,9,No score yet,N/A
Tragedy Girls,38,36,5.4,65
The Tiger Hunter,58,10,6.3,23
The Wasted Times,66,7,No score yet,N/A
Architects of Denial,Link error,Link error,Link error,Link error
The Love Witch,Link error,Link error,Link error,Link error
Alive and Kicking,82,27,6.0,54
Ocean Waves,77,5,No score yet,N/A
The Nile Hilton Incident,73,4,7.2,22
Earth: One Amazing Day,70,8,7.4,16
Buster's Mal Heart,Link error,Link error,Link error,Link error
Hostiles,Link error,Link error,Link error,Link error
Dina,73,13,No score yet,N/A
Because of Grácia,75,21,No score yet,N/A
Stefan Zweig: Farewell to Europe,75,9,8.3,4
BPM (Beats Per Minute),Link error,Link error,Link error,Link error
Chapter & Verse,74,46,7.6,379
Night of the Living Dead,tbd,4,4.5,6
Tim Timmerman: Hope of America,tbd,4,No score yet,N/A
The Lure,98,19,8.3,127
The Bolshoi Ballet: Live From Moscow - A Hero of Our Time,tbd,4,8.4,7
Slack Bay,Link error,Link error,Link error,Link error
Score,66,19,No score yet,N/A
Munna Michael,tbd,4,No score yet,N/A
The Thousand Faces of Dunjia,79,13,5.8,21
Like Crazy,Link error,Link error,Link error,Link error
Inferno,68,38,7.3,113
The B-Side: Elsa Dorfman's Portrait Photography,42,47,5.5,189
The King's Choice,Link error,Link error,Link error,Link error
City of Ghosts,73,16,6.7,9
Moka,57,26,8.0,7
Our Time Will Come,69,10,No score yet,N/A
Things to Come,82,9,7.0,6
Thelma,88,28,6.9,47
The Handmaiden,86,14,6.1,9
Explosion,84,40,8.5,257
The Other Side of Hope,67,7,No score yet,N/A
The Last Dalai Lama?,49,6,No score yet,N/A
The Ex-File 3: The Return of The Exes,66,5,No score yet,N/A
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",47,43,5.6,191
A Man Called Ove,47,21,3.6,7
"Polina, danser sa vie",70,21,7.4,86
Valley of Bones,87,9,4.0,4
The Unknown Girl,72,26,6.7,36
9/11,65,21,6.6,20
In This Corner of the World,62,14,5.9,93
Endless Poetry,73,21,7.6,22
The Journey,78,19,7.4,13
Champion,53,21,6.3,6
13 Minutes,72,21,7.1,20
The Bad Batch,82,28,7.4,34
Whose Streets?,62,25,5.5,57
Embrace: The Documentary,79,26,No score yet,N/A
Almost Christmas,75,17,8.3,12
Spark: A Space Tail,55,27,5.1,14
Mr. Gaga: A True Story of Love and Dance,22,6,2.4,7
Hubble 3D,72,27,8.0,11
Take Every Wave: The Life of Laird Hamilton,84,30,7.3,35
Past Life,66,9,No score yet,N/A
Truman,60,11,No score yet,N/A
The Adventurers,81,16,7.7,10
The Fortress,47,4,No score yet,N/A
All I See Is You,Link error,Link error,Link error,Link error
Railroad Tigers,43,25,5.2,21
The Breadwinner,80,14,No score yet,N/A
Little Shop of Horrors,68,15,No score yet,N/A
American Satan,81,15,7.7,63
Crown Heights,Link error,Link error,Link error,Link error
The Prison,64,25,7.4,7
The Swindlers,Link error,Link error,Link error,Link error
1945,Link error,Link error,Link error,Link error
Black Butler: Book of the Atlantic,71,21,7.9,454
Dean,69,19,6.2,11
Storks,62,24,6.4,33
Stalker,56,31,6.3,117
I Do... Until I Don't,26,13,9.1,215
Miss Peregrine's Home for Peculiar Children,79,46,7.2,117
Band Aid,tbd,4,No score yet,N/A
Government 3,67,21,5.9,10
A Silent Voice: The Movie,85,28,8.3,76
Citizen Jane: Battle for the City,Link error,Link error,Link error,Link error
Chuck,70,13,No score yet,N/A
Buddies in India,68,29,6.9,18
Dunkirk,Link error,Link error,Link error,Link error
Letters from Baghdad,tbd,4,No score yet,N/A
Disney Junior HalloVeen Party!,71,13,No score yet,N/A
BOSTON: An American Running Story,50,9,4.5,20
The Accountant,tbd,4,No score yet,N/A
This Is Not What I Expected,51,45,7.3,426
Pearl Jam: Let's Play Two,Link error,Link error,Link error,Link error
One Piece Film: Gold,tbd,4,No score yet,N/A
Land of Mine,43,4,7.1,27
Phillauri,75,26,7.6,50
DCI 2017 Tour Premeire,Link error,Link error,Link error,Link error
Duckweed,46,30,6.3,23
Journey to the South Pacific,Link error,Link error,Link error,Link error
Chasing Trane: The John Coltrane Documentary,78,29,6.5,46
Once Upon A Time,69,13,7.4,5
Born to Be Wild,Link error,Link error,Link error,Link error
Raw,78,17,6.5,22
Song to Song,81,33,7.3,190
Chasing the Dragon,Link error,Link error,Link error,Link error
Phantom Thread,Link error,Link error,Link error,Link error
Samaritan's Purse presents Facing Darkness,Link error,Link error,Link error,Link error
Allied,67,45,7.7,490
Bitter Harvest,60,44,6.7,250
Brigsby Bear,77,22,7.5,13
Along With the Gods: The Two Worlds,67,35,7.5,44
Jonah: The Musical,33,23,5.3,19
Walk With Me,49,34,5.3,16
Titanic,74,14,5.7,7
Chris Brown: Welcome To My Life,Link error,Link error,Link error,Link error
Master,tbd,4,7.4,10
Countdown to Canelo vs. Golovkin,53,4,No score yet,N/A
The Exception,66,24,7.5,4
Revive Us 2,60,15,6.1,22
George Takei's Allegiance,tbd,4,No score yet,N/A
Neruda,Link error,Link error,Link error,Link error
Detective Jagga,82,28,7.3,25
The Red Turtle,59,4,5.8,6
Tubelight,86,32,7.8,149
Landline,Link error,Link error,Link error,Link error
Last Flag Flying,66,33,6.4,17
May It Last,65,45,7.3,44
Mark Felt: The Man Who Brought Down the White House,72,26,6.4,13
Hotchpotch Again,49,29,5.6,31
Columbus,Link error,Link error,Link error,Link error
Wonderstruck,100,18,8.9,345
Frantz,75,22,9.1,1121
Viceroy's House,73,28,7.9,26
Step,76,37,6.7,46
Lucky,81,27,8.6,5
The Trip to Spain,41,9,No score yet,N/A
Spirited Away,66,31,6.8,20
3 idiotas,Link error,Link error,Link error,Link error
Churchill,61,24,5.9,18
The Battleship Island,44,25,8.9,98
My Friend Dahmer,60,4,7.9,7
Wonder Wheel,77,38,6.5,107
The Dinner,73,31,7.2,39
Toni Erdmann,57,30,4.4,24
The Wedding Plan,93,36,7.0,181
The Women's Balcony,72,18,7.0,5
Jane,89,36,7.3,237
Inhumans,Link error,Link error,Link error,Link error
A Taxi Driver,tbd,4,7.1,47
Youth,69,7,7.9,24
Professor Marston & the Wonder Women,Link error,Link error,Link error,Link error
The Comedian,84,46,7.0,258
Jolly LLB 2,40,37,5.2,18
Menashe,Link error,Link error,Link error,Link error
Goodbye Christopher Robin,81,27,6.4,12
The Post,54,28,6.8,48
Free Fire,40,23,7.5,12
The Wall,63,39,6.3,152
Toilet: A Love Story,67,18,7.9,10
Badrinath Ki Dulhania,74,5,8.4,5
Good Time,Link error,Link error,Link error,Link error
Paterson,80,41,7.6,253
The Little Hours,90,41,7.9,194
Brad's Status,69,29,6.3,51
Collide,19,8,3.9,8
The Killing of a Sacred Deer,33,10,8.4,98
The Resurrection of Gavin Stone,73,45,6.8,245
Jeepers Creepers III,36,5,5.5,14
Pokémon the Movie: I Choose You!,85,36,7.5,276
A Quiet Passion,67,42,7.3,209
"I, Tonya",77,30,6.3,40
LBJ,38,21,4.4,38
Do It Like An Hombre,54,19,7.6,18
IN OUR HANDS: Battle for Jerusalem,Link error,Link error,Link error,Link error
Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,Link error,Link error,Link error,Link error
Wolf Warrior 2,63,34,5.9,49
Hacksaw Ridge,44,4,5.7,6
Doctor Strange,71,47,8.3,771
Leap!,72,49,8.1,1863
Ingrid Goes West,48,18,6.3,28
Colossal,71,39,7.2,93
Close Encounters of the Third Kind,70,38,6.1,171
Raees,90,10,7.8,201
Til Death Do Us Part,Link error,Link error,Link error,Link error
An Inconvenient Sequel: Truth to Power,Link error,Link error,Link error,Link error
Trolls,68,36,6.3,36
Phoenix Forgotten,55,32,6.6,179
Their Finest,33,5,4.5,22
Table 19,76,30,6.3,50
A Monster Calls,40,29,5.8,32
Friend Request,76,40,7.7,234
Norman,31,18,4.7,45
Kedi,60,11,No score yet,N/A
The Oscar Nominated Short Films 2017: Live Action,78,23,8.5,40
Sleight,65,41,6.1,35
Dangal,62,18,4.8,26
The Hero,Link error,Link error,Link error,Link error
Stronger,61,28,6.8,27
The Book of Henry,76,41,7.4,99
Call Me by Your Name,31,31,4.7,59
Your Name.,42,35,5.0,99
The Man Who Invented Christmas,83,40,7.4,147
Suburbicon,48,25,5.0,14
All Saints,42,49,4.5,116
Same Kind of Different as Me,57,9,6.5,6
The Snowman,23,40,6.2,177
Silence,23,40,4.0,125
Birth of the Dragon,79,48,7.6,325
Beatriz at Dinner,35,13,4.5,27
I Am Not Your Negro,68,36,5.5,49
Let There Be Light,95,36,5.4,170
The Space Between Us,81,52,7.3,223
The Promise,47,40,7.5,264
Maudie,53,26,5.0,13
The Lost City of Z,65,35,7.4,43
Arrival,78,44,7.0,239
Rock Dog,81,52,8.1,1823
Marshall,48,16,7.0,28
The Belko Experiment,Link error,Link error,Link error,Link error
Live by Night,44,21,5.0,89
The Beguiled,49,43,7.8,192
Fantastic Beasts and Where to Find Them,77,45,6.2,187
Unforgettable,66,50,7.3,1177
"Roman J. Israel, Esq.",45,27,3.8,30
Battle of the Sexes,58,31,6.5,82
All the Money in the World,73,46,6.3,145
Father Figures,66,47,7.4,187
Born in China,66,25,6.7,44
It Comes at Night,57,14,6.1,17
Wish Upon,78,43,6.3,356
Moonlight,50,6,7.6,33
The Shape of Water,59,8,No score yet,N/A
Flatliners,77,49,6.7,194
Downsizing,55,10,9.0,67
The Zookeeper's Wife,56,40,6.0,67
The Disaster Artist,75,51,6.9,889
Baahubali 2: The Conclusion,28,26,5.0,76
The Circle,Link error,Link error,Link error,Link error
Manchester by the Sea,85,28,6.3,6
Diary of a Wimpy Kid: The Long Haul,96,52,8.2,938
Sleepless,39,16,3.4,59
Leap!,34,15,4.5,46
Rough Night,39,13,7.1,125
Victoria & Abdul,51,40,4.7,101
"Three Billboards Outside Ebbing, Missouri",37,22,3.1,82
The House,60,33,7.5,151
Resident Evil: The Final Chapter,30,22,4.4,69
Home Again,49,19,5.1,384
Logan Lucky,41,29,5.5,36
Rings,78,51,6.9,322
The Nut Job 2: Nutty by Nature,25,23,4.0,111
Why Him?,36,19,4.3,29
Life,39,30,6.7,191
The Mountain Between Us,63,20,8.9,59
Underworld: Blood Wars,48,37,5.1,104
Patriots Day,44,26,4.9,48
Fences,69,42,7.1,159
Lady Bird,79,48,7.3,249
Fist Fight,54,11,5.3,38
Monster Trucks,37,28,5.2,60
Geostorm,41,23,5.4,64
"Everything, Everything",73,44,7.8,357
American Assassin,55,23,7.1,181
Jigsaw,45,30,5.7,131
King Arthur: Legend of the Sword,39,18,6.0,204
The Star,41,45,7.2,607
Ghost in the Shell,51,45,6.4,617
Moana,76,14,8.8,165
The Big Sick,81,44,7.8,749
47 Meters Down,86,47,7.0,390
Passengers,52,24,5.2,127
xXx: Return of Xander Cage,40,8,6.3,45
All Eyez on Me,42,25,4.8,270
Going in Style,38,22,4.4,69
Smurfs: The Lost Village,50,31,6.1,90
The Great Wall,40,25,5.8,70
Snatched,42,40,5.7,258
Lion,45,41,3.1,110
Boo 2! A Madea Halloween,69,45,7.8,321
The Greatest Showman,17,10,2.1,40
American Made,34,46,4.5,386
Atomic Blonde,65,50,6.9,264
Ferdinand,63,50,6.7,430
The Shack,58,26,6.8,298
Baywatch,32,18,5.6,60
The Lego Ninjago Movie,37,47,4.7,290
Pitch Perfect 3,55,33,5.3,117
Alien: Covenant,69,25,6.9,161
The Hitman's Bodyguard,65,52,5.8,1289
Power Rangers,48,34,8.8,615
The Emoji Movie,44,30,6.8,496
Blade Runner 2049,12,26,2.0,821
Kingsman: The Golden Circle,75,43,8.0,1086
Transformers: The Last Knight,65,51,7.6,3483
Split,27,47,4.1,558
War for the Planet of the Apes,62,48,7.0,823
Cars 3,82,50,8.0,770
Hidden Figures,59,41,7.0,350
Kong: Skull Island,74,47,7.5,386
Jumanji: Welcome to the Jungle,62,49,6.6,755
The Boss Baby,39,45,6.3,821
Get Out,50,32,5.2,245
Coco,75,48,7.6,603
Logan,56,45,6.9,710
Despicable Me 3,tbd,4,No score yet,N/A
Thor: Ragnarok,49,37,5.7,258
Spider-Man: Homecoming,69,49,7.8,1326
Guardians of the Galaxy Vol. 2,73,51,7.5,2148
